Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
dalsocial,com.csci3130.group7.dalsocial,FriendServiceTests,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.csci3130.group7.dalsocial.model.Friend; com.csci3130.group7.dalsocial.model.User
dalsocial,com.csci3130.group7.dalsocial,PostServiceTests,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.csci3130.group7.dalsocial.model.Post
dalsocial,com.csci3130.group7.dalsocial,ProfileServiceTests,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.csci3130.group7.dalsocial.model.Profile
dalsocial,com.csci3130.group7.dalsocial,UserServiceTests,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.csci3130.group7.dalsocial.model.User
dalsocial,com.csci3130.group7.dalsocial.service.Implementation,FriendRequestServiceImpl,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.csci3130.group7.dalsocial.model.Friend
dalsocial,com.csci3130.group7.dalsocial.service.Implementation,FriendRequestServiceImpl,Law of Demeter violation,The tool detected the smell in this method (sendFriendRequest) because the method voilates the law of Demeter. The long chain of method invocations is : com.csci3130.group7.dalsocial.repository.FriendRequestRepository.findBySenderAndReceiver; com.csci3130.group7.dalsocial.model.Friend.getStatus
dalsocial,com.csci3130.group7.dalsocial.service.Implementation,FriendRequestServiceImpl,Law of Demeter violation,The tool detected the smell in this method (checkIfRequestSent) because the method voilates the law of Demeter. The long chain of method invocations is : com.csci3130.group7.dalsocial.model.User.getId; com.csci3130.group7.dalsocial.model.Friend.getReceiver
dalsocial,com.csci3130.group7.dalsocial.service.Implementation,FriendRequestServiceImpl,Law of Demeter violation,The tool detected the smell in this method (checkIfRequestPending) because the method voilates the law of Demeter. The long chain of method invocations is : com.csci3130.group7.dalsocial.model.Friend.getSender; com.csci3130.group7.dalsocial.model.User.getId
dalsocial,com.csci3130.group7.dalsocial.service.Implementation,UserServiceImpl,Law of Demeter violation,The tool detected the smell in this method (authenticateUser) because the method voilates the law of Demeter. The long chain of method invocations is : com.csci3130.group7.dalsocial.repository.UserRepository.findByEmail; com.csci3130.group7.dalsocial.model.User.getPassword
dalsocial,com.csci3130.group7.dalsocial.service.Implementation,UserServiceImpl,Law of Demeter violation,The tool detected the smell in this method (correctAnswer) because the method voilates the law of Demeter. The long chain of method invocations is : com.csci3130.group7.dalsocial.repository.UserRepository.findByEmail; com.csci3130.group7.dalsocial.model.User.getSecurityAnswer
